Категория  | Дата | Изменения
Клей | 45695 | Изменение матрицы хранения на "под заказ" у Eurocol медная лента 801, ремонтная смесь 940, смесь 999 и 914
Подложка | 45695 | Изменение матрицы хранения на "под заказ" у подложки Изодом в Москве и Сургуте
Ламинат | 45695 | Выводим коллекции ламината Kronostar Salzburg и De Facto
Плинтус | 45695 | Скорректированы матрицы хранения по плинтусу Bonkeel Prof всех видов
Плинтус | 45695 | Добавлена новая алюминиевая фурнитура для плинтуса Bonkeel Prof AL60 и AL80
  |   | Изменения 05 февраля 2025г
Плитка LVT и SPC | 45693 | Акция: снижены цены Дилер на складской запас плитки SPC Bonkeel Line 301 и Bonkeel Base 112 и 210
  |   | Изменения 03 февраля 2025г
Ламинат | 45691 | Убрана из прайса коллекция ламината Tarkett Fiesta
  |   | Изменения 31 января 2025г
Клей | 45688 | Повышены цены на клей Solid
Плинтус | 45688 | Повышены цены на плинтус Solid
Подложка | 45688 | Повышены цены на подложку Solid
Линолеум нарезка Братец лис | 45688 | Добавлены новые декоры в нарезку Братец лис коллекции Bonus, Comfort, Craft, Delta, Gladiator, Idyllia Nova, Sprint Pro и Stimul
Линолеум нарезка Братец лис | 45688 | Добавлена коллекция Philosophy в нарезку Братец лис
Линолеум нарезка Братец лис | 45688 | Выводим некоторые декоры из нарезки Братец лис коллекции Acczent Mineral AS, Gladiator, Grand, Discovery, Sprint Pro, Caprice, Comfort, Craft, Eruption, Status и Delta
Линолеум нарезка Tarkett | 45688 | Добавлена коллекция Philosophy в нарезку Tarkett
Клей | 45688 | Изменение матрицы хранения на "под заказ" у клея Eurocol 522, 523, 528 и Homakoll 168 EL Prof, 878 STP
  |   | Изменения 30 января 2025г
Ковровая плитка | 45687 | Перенесена в "шапку" таблицы отметка "цена на самовывоз с Москвы"
Ковровая плитка | 45687 | Добавлена цена до терминала ТК по Москве
Коммерческий ковролин | 45687 | Перенесена в "шапку" таблицы отметка "цена на самовывоз с Москвы"
Коммерческий ковролин | 45687 | Добавлена цена до терминала ТК по Москве
  |   | Изменения 27 января 2025г
Ковровая плитка | 45684 | Вернули прошлую цену Дилер на ковровую плитку AW Medusa
  |   | Изменения 24 января 2025г
Клей | 45681 | Повышены цены на клей Bonkeel Prof
Плинтус | 45681 | Повышены цены РРЦ на плинтус Solid
Линолеум бытовой рулоны | 45681 | Снижение цены на бытовой линолеум Favorit
Линолеум нарезка Братец лис | 45681 | Снижение цены нарезки на бытовой линолеум Favorit
Ковровая плитка | 45681 | Снижение цены Дилер на ковровую плитку AW Medusa
Ковровая плитка | 45681 | Повышены цены РРЦ на ковровую плитку Bonkeel
Ковровая плитка | 45650 | Окончание акции снижения цены на складской запас некоторых коллекций и декоров ковровой плитки Bonkeel и AW
Ковровая плитка | 45650 | Добавлена отметка "цена на самовывоз" к ценам Дилера на всю ковровую плитку
  |   | Изменения 17 января 2025г
Подложка | 45674 | Повышены цены на хвойную подложку 3мм и 5,5мм
Подложка | 45674 | Убрана из прайса хвойная подложка 7мм
Подложка | 45674 | Повышены цены на пробковую подложку 2мм и 3мм
  |   | Изменения 15 января 2025г
Ковролин инд. печать | 45672 | Повышены цены на инд. печать ковролин Bonkeel
Коммерческий ковролин | 45672 | Добавлен коммерческий ковролин Bonkeel Storm NP
Услуги для ковролина | 45672 | Добавлена новая вкладка "Услуги для ковролина"
  |   | Изменения 13 января 2025г
Клей | 45670 | Повышены цены на клей Eurocol
Плитка LVT и SPC | 45670 | Окончание акции по снижению цены на складской запас некоторых коллекций и декоров плитки LVT Invictus
  |   | Изменения 09 января 2025г
Ламинат | 45666 | Повышены цены на ламинат Classen
Ламинат | 45666 | Убраны из прайса коллекции ламината Classen Galaxy WR и Adventure WR
  |   | Изменения 25 декабря 2024г
Ламинат | 45651 | Снижены цены Дилер на ламинат Alsafloor
  |   | Изменения 23 декабря 2024г
Плинтус | 45649 | Повышены цены на плинтус Indo, Integra, Vega и Stiq
  |   | Изменения 20 декабря 2024г
Ламинат | 45646 | Повышены цены на ламинат Alsafloor
Плитка LVT и SPC | 45646 | Акция до 31.12.24: снижены цены на складской запас некоторых коллекций и декоров плитки LVT Invictus
Ковровая плитка | 45646 | Акция: снижены цены на складской запас некоторых коллекций и декоров ковровой плитки Bonkeel и AW
Линолеум нарезка Tarkett | 45646 | Добавлены новые декоры в нарезку Tarkett коллекции Sprint Pro, Idyllia Nova, Gladiator, Favorit и Evropa
  |   | Изменения 13 декабря 2024г
Коммерческий ковролин | 45639 | Изменились цены на ковровое покрытие AW Medusa
Коммерческий ковролин | 45639 | Добавлена цена рулона для коврового покрытия AW Prima
Ковролин концепты AW | 45639 | Повышены цены на ковровое покрытие AW Rosetta
  |   | Изменения 10 декабря 2024г
Коммерческий линолеум | 45636 | Убрана цена нарезки
Линолеум нарезка Братец лис | 45636 | Добавлены и скорректированы цены нарезки на коммерческий линолеум
  |   | Изменения 09 декабря 2024г
Ковровая плитка | 45635 | Повышены цены на ковровую плитку Bonkeel Star, Sensei, Shade и Stone
Ковровая плитка | 45635 | Повышены цены на ковровую плитку AW Mambo, Mantra, Marvel, Matrix, Marathon, Macro и Mineral
Ламинат | 45635 | Повышены цены на ламинат Bonkeel Nord, Slim и Dream
Плитка LVT и SPC | 45635 | Повышены цены на плитку LVT Bonkeel Discostar
Плитка LVT и SPC | 45635 | Повышены цены на плитку LVT и стрипс-вставки Invictus
Коммерческий линолеум | 45635 | Повышены цены на коммерческий линолеум
Линолеум бытовой рулоны | 45635 | Повышены цены на бытовой линолеум
Линолеум нарезка Братец лис | 45635 | Повышены цены на нашу нарезку бытового линолеума
Линолеум нарезка Tarkett | 45635 | Повышены цены на нарезку бытового линолеума с завода Tarkett
Плитка LVT и SPC | 45635 | Повышены цены на плитку LVT/SPC Tarkett
Ламинат | 45635 | Повышены цены на ламинат Tarkett
Бытовой ковролин | 45635 | Повышены цены на бытовой ковролин Global и Favorit
  |   | Изменения 06 декабря 2024г
Ковровая плитка | 45632 | Изменены цены на ковроваую плитку Bonkeel Storm
  |   | Изменения 27 ноября 2024г
Коммерческий ковролин | 45623 | Добавлен коммерческий ковролин Bonkeel Space
